frame,xpx,ypx,xcm,ycm
1,966,418,0.45454545454545453,0.9090909090909091
2,978,407,1.6363636363636365,2.0
3,993,396,3.0,3.0303030303030303
4,1018,400,5.2727272727272725,2.6
5,1042,408,7.363636363636363,1.7
6,1056,406,8.727272727272727,1.9
7,1059,398,9.0,2.7
8,1057,392,8.818181818181818,3.3
9,1053,388,8.545454545454545,3.7
10,1049,387,8.181818181818182,3.8
11,1045,388,7.818181818181818,3.7
12,1039,393,7.181818181818182,3.2323232323232323
13,1036,404,6.909090909090909,2.121212121212121
14,1027,411,6.0,1.5
15,1015,411,4.909090909090909,1.5
16,1007,413,4.181818181818182,1.3131313131313131
17,999,410,3.4545454545454546,1.6161616161616161
18,971,392,1.0,3.5353535353535355
19,948,356,-0.5217391304347831,7.2727272727272725
20,960,376,0.09174311926605505,5.151515151515151
21,976,403,1.4545454545454546,2.4
22,960,388,0.09090909090909091,3.9393939393939394
23,931,357,-2.0,7.2727272727272725
24,915,351,-3.333333333333333,7.97979797979798
25,920,362,-2.9565217391304346,6.8
26,928,373,-2.3478260869565215,5.656565656565657
27,922,372,-2.807017543859649,5.8
28,914,366,-3.5087719298245617,6.4646464646464645
29,914,372,-3.5087719298245617,5.858585858585859
30,918,379,-3.217391304347826,5.1
31,921,385,-2.9565217391304346,4.5
32,931,398,-2.1739130434782608,3.1313131313131315
33,942,409,-1.2931034482758612,1.9191919191919191
34,941,403,-1.304347826086957,2.525252525252525
35,941,397,-1.304347826086957,3.1313131313131315
36,948,398,-0.695652173913043,3.0303030303030303
37,949,392,-0.6086956521739122,3.6363636363636362
38,946,384,-0.7826086956521738,4.444444444444445
39,945,384,-0.8695652173913047,4.444444444444445
40,949,390,-0.526315789473685,3.8383838383838382
41,942,384,-1.1304347826086953,4.444444444444445
42,938,377,-1.4782608695652169,5.2
43,948,394,-0.695652173913043,3.4343434343434343
44,960,412,0,1.5151515151515151
45,961,414,0,1.3131313131313131
46,960,412,0,1.5151515151515151
47,961,413,0,1.4141414141414141
48,963,416,0.18181818181818182,1.1111111111111112
49,962,416,0.09090909090909091,1.1111111111111112
50,961,417,0,1.0101010101010102
51,960,418,0,0.9090909090909091
52,958,415,0,1.2121212121212122
53,956,417,-0.08695652173913082,1.0101010101010102
54,956,420,-0.08695652173913082,0.7070707070707071
55,951,416,-0.5172413793103452,1.2
56,939,404,-1.4782608695652169,2.5
57,935,396,-1.8260869565217384,3.3
58,950,406,-0.5217391304347831,2.2222222222222223
59,969,427,0.6363636363636364,0
60,969,427,0.6363636363636364,0
61,951,402,-0.43478260869565233,2.6
62,938,395,-1.5652173913043477,3.4
63,944,411,-1.1206896551724146,1.7171717171717171
64,946,418,-0.9565217391304355,1.0101010101010102
65,943,420,-1.2173913043478262,0.8080808080808081
66,939,420,-1.5652173913043477,0.9
67,933,416,-2.068965517241379,1.3131313131313131
68,923,411,-2.931034482758621,1.9
69,917,407,-3.391304347826087,2.3
70,915,408,-3.6206896551724137,2.2222222222222223
71,916,408,-3.5344827586206895,2.2222222222222223
72,920,410,-3.1896551724137927,2.0
