frame,xpx,ypx,xcm,ycm
1,966,430,0.36363636363636365,0
2,969,432,0.6363636363636364,-0.09259259259259345
3,973,434,1.0,-0.27777777777777857
4,977,435,1.3636363636363635,-0.37037037037037024
5,985,436,2.090909090909091,-0.4672897196261676
6,991,439,2.6126126126126126,-0.8333333333333339
7,997,440,3.1531531531531534,-0.9259259259259256
8,1004,441,3.7837837837837838,-1.018518518518519
9,1014,442,4.684684684684685,-1.121495327102803
10,1015,440,4.774774774774775,-0.934579439252337
11,991,439,2.6126126126126126,-0.8333333333333339
12,959,441,0,-0.9174311926605512
13,928,442,-2.586206896551724,-0.8333333333333339
14,913,446,-3.913043478260869,-1.1111111111111107
15,913,447,-3.913043478260869,-1.2037037037037042
16,912,447,-4.0,-1.2037037037037042
17,909,448,-4.260869565217392,-1.2149532710280369
18,918,449,-3.4782608695652177,-1.4018691588785046
19,940,449,-1.5652173913043477,-1.4953271028037385
20,958,447,0,-1.4678899082568808
21,961,446,0,-1.376146788990825
22,960,445,0,-1.284403669724771
23,962,445,0,-1.2962962962962958
24,970,445,0.7207207207207207,-1.2962962962962958
25,979,444,1.5315315315315314,-1.2037037037037042
26,981,445,1.7117117117117118,-1.2962962962962958
27,974,447,1.0810810810810811,-1.481481481481481
28,970,448,0.7207207207207207,-1.5740740740740744
29,976,446,1.2612612612612613,-1.3888888888888893
30,983,444,1.8918918918918919,-1.2037037037037042
31,984,445,1.981981981981982,-1.2962962962962958
32,985,447,2.0720720720720722,-1.4953271028037385
33,986,446,2.1621621621621623,-1.481481481481481
34,983,447,1.8918918918918919,-1.481481481481481
35,976,449,1.2612612612612613,-1.666666666666666
36,966,451,0.36036036036036034,-1.8518518518518512
37,955,452,-0.2608695652173907,-1.9266055045871564
38,942,452,-1.3913043478260878,-1.8518518518518512
39,929,453,-2.5217391304347823,-1.8518518518518512
40,919,454,-3.391304347826087,-1.8691588785046722
41,912,454,-4.0,-1.8518518518518512
42,908,454,-4.3478260869565215,-1.7757009345794401
43,907,454,-4.434782608695652,-1.7757009345794401
44,910,454,-4.173913043478261,-1.7757009345794401
45,914,453,-3.8260869565217392,-1.7592592592592595
46,915,451,-3.7391304347826084,-1.5740740740740744
47,912,450,-4.0,-1.481481481481481
48,909,449,-4.260869565217392,-1.3084112149532707
49,910,448,-4.173913043478261,-1.2149532710280369
50,912,447,-4.0,-1.2037037037037042
51,915,446,-3.7391304347826084,-1.1111111111111107
52,918,444,-3.4782608695652177,-0.934579439252337
53,921,444,-3.217391304347826,-0.934579439252337
54,928,443,-2.608695652173913,-0.9259259259259256
55,935,441,-1.9827586206896548,-0.7407407407407405
56,941,440,-1.4655172413793096,-0.7407407407407405
57,949,439,-0.7758620689655178,-0.6481481481481488
58,959,439,0,-0.7339449541284395
59,965,438,0.2727272727272727,-0.6481481481481488
60,972,437,0.9090909090909091,-0.5555555555555554
61,982,436,1.8181818181818181,-0.4629629629629637
62,989,436,2.4545454545454546,-0.5555555555555554
63,991,437,2.6363636363636362,-0.6481481481481488
